,words,tf,idf,tfidf
369,five,1.0,2.995732273553991,2.995732273553991
370,standing,1.0,2.302585092994046,2.302585092994046
371,someone,1.0,2.995732273553991,2.995732273553991
372,apply,1.0,2.995732273553991,2.995732273553991
373,stolen,1.0,2.995732273553991,2.995732273553991
374,face,1.0,2.995732273553991,2.995732273553991
375,star,1.0,2.995732273553991,2.995732273553991
376,250,1.0,2.995732273553991,2.995732273553991
377,skymlles,1.0,2.995732273553991,2.995732273553991
378,anaemic,3.0,2.302585092994046,6.907755278982138
379,sort,2.0,2.302585092994046,4.605170185988092
380,reduced,2.0,2.995732273553991,5.991464547107982
381,appalling,1.0,2.995732273553991,2.995732273553991
382,wont,1.0,2.995732273553991,2.995732273553991
383,cash,1.0,2.995732273553991,2.995732273553991
384,pray,1.0,2.995732273553991,2.995732273553991
385,treat,1.0,2.302585092994046,2.302585092994046
386,encourage,1.0,2.995732273553991,2.995732273553991
387,badly,1.0,2.995732273553991,2.995732273553991
388,bless,1.0,2.995732273553991,2.995732273553991
389,move,1.0,2.995732273553991,2.995732273553991
390,bankrupt,1.0,2.995732273553991,2.995732273553991
391,assist,1.0,2.995732273553991,2.995732273553991
392,pretending,1.0,2.995732273553991,2.995732273553991
393,got,1.0,2.302585092994046,2.302585092994046
394,possible,1.0,2.995732273553991,2.995732273553991
395,motto,1.0,2.995732273553991,2.995732273553991
396,usewhat,1.0,2.995732273553991,2.995732273553991
397,advance,1.0,2.995732273553991,2.995732273553991
398,burst,1.0,2.995732273553991,2.995732273553991
399,outstanding,1.0,2.995732273553991,2.995732273553991
400,disappointments,1.0,2.995732273553991,2.995732273553991
